Time (s),USB Avg Power (mW)
494.9184,1838.4
494.9204,1840.8
494.9224,1838.4
494.9244,1838.4
494.9264,1840.8
494.9284,1838.4
494.9304,1838.4
494.9324,1838.4
494.9344,1838.4
494.9364,1840.8
494.9384,1838.4
494.9404,1869.6001
494.9424,1838.4
494.9444,1840.8
494.9464,1838.4
494.9484,1838.4
494.9504,1836.0001
494.9524,1838.4
494.9544,1838.4
494.9564,1840.8
494.9584,1838.4
494.9604,1840.8
494.9624,1838.4
494.9644,1838.4
494.9664,1838.4
494.9684,1840.8
494.9704,1838.4
494.9724,1840.8
494.9744,1838.4
494.9764,1843.2001
494.9784,1838.4
494.9804,1838.4
494.9824,1836.0001
494.9844,1840.8
494.9864,1840.8
494.9884,1838.4
494.9904,1884.0001
494.9924,1838.4
494.9944,1838.4
494.9964,1838.4
494.9984,1840.8
495.0004,1838.4
495.0024,1838.4
495.0044,1840.8
495.0064,1840.8
495.0084,1840.8
495.0104,1838.4
495.0124,1836.0001
495.0144,1838.4
495.0164,1840.8
495.0184,1838.4
495.0204,1838.4
495.0224,1838.4
495.0244,1838.4
495.0264,1836.0001
495.0284,1838.4
495.0304,1838.4
495.0324,1838.4
495.0344,1838.4
495.0364,1838.4
495.0384,1836.0001
495.0404,1862.4
495.0424,1838.4
495.0444,1838.4
495.0464,1838.4
495.0484,1836.0001
495.0504,1838.4
495.0524,1838.4
495.0544,1838.4
495.0564,1838.4
495.0584,1838.4
495.0604,1836.0001
495.0624,1838.4
495.0644,1838.4
495.0664,1836.0001
495.0684,1838.4
495.0704,1838.4
495.0724,1840.8
495.0744,1838.4
495.0764,1838.4
495.0784,1838.4
495.0804,1838.4
495.0824,1838.4
495.0844,1838.4
495.0864,1838.4
495.0884,1838.4
495.0904,1864.8
495.0924,1838.4
495.0944,1836.0001
495.0964,1836.0001
495.0984,1838.4
495.1004,1836.0001
495.1024,1840.8
495.1044,1838.4
495.1064,1838.4
495.1084,1838.4
495.1104,1838.4
495.1124,1838.4
495.1144,1838.4
495.1164,1836.0001
495.1184,1838.4
495.1204,1838.4
495.1224,1838.4
495.1244,1838.4
495.1264,1838.4
495.1284,1836.0001
495.1304,1838.4
495.1324,1838.4
495.1344,1838.4
495.1364,1838.4
495.1384,1838.4
495.1404,1838.4
495.1424,1840.8
495.1444,1840.8
495.1464,1838.4
495.1484,1838.4
495.1504,1836.0001
495.1524,1838.4
495.1544,1840.8
495.1564,1838.4
495.1584,1838.4
495.1604,1838.4
495.1624,1840.8
495.1644,1838.4
495.1664,1838.4
495.1684,1838.4
495.1704,1838.4
495.1724,1838.4
495.1744,1838.4
495.1764,1838.4
495.1784,1838.4
495.1804,1838.4
495.1824,1840.8
495.1844,1838.4
495.1864,1838.4
495.1884,1840.8
495.1904,1838.4
495.1924,1840.8
495.1944,1838.4
495.1964,1838.4
495.1984,1840.8
495.2004,1838.4
495.2024,1840.8
495.2044,1838.4
495.2064,1838.4
495.2084,1838.4
495.2104,1838.4
495.2124,1838.4
495.2144,1838.4
495.2164,1836.0001
495.2184,1838.4
495.2204,1838.4
495.2224,1840.8
495.2244,1838.4
495.2264,1838.4
495.2284,1838.4
495.2304,1838.4
495.2324,1838.4
495.2344,1838.4
495.2364,1840.8
495.2384,1838.4
495.2404,1838.4
495.2424,1838.4
495.2444,1840.8
495.2464,1838.4
495.2484,1840.8
495.2504,1836.0001
495.2524,1838.4
495.2544,1838.4
495.2564,1838.4
495.2584,1838.4
495.2604,1838.4
495.2624,1840.8
495.2644,1838.4
495.2664,1838.4
495.2684,1838.4
495.2704,1838.4
495.2724,1838.4
495.2744,1838.4
495.2764,1838.4
495.2784,1838.4
495.2804,1838.4
495.2824,1838.4
495.2844,1838.4
495.2864,1838.4
495.2884,1838.4
495.2904,1836.0001
495.2924,1857.6001
495.2944,1838.4
495.2964,1838.4
495.2984,1838.4
495.3004,1836.0001
495.3024,1838.4
495.3044,1840.8
495.3064,1838.4
495.3084,1838.4
495.3104,1836.0001
495.3124,1838.4
495.3144,1838.4
495.3164,1836.0001
495.3184,1838.4
495.3204,1840.8
495.3224,1838.4
495.3244,1836.0001
495.3264,1836.0001
495.3284,1838.4
495.3304,1804.8
495.3324,1836.0001
495.3344,1836.0001
495.3364,1838.4
495.3384,1836.0001
495.3404,1838.4
495.3424,1840.8
495.3444,1838.4
495.3464,1838.4
495.3484,1807.2001
495.3504,1838.4
495.3524,1836.0001
495.3544,1836.0001
495.3564,1836.0001
495.3584,1836.0001
495.3604,1838.4
495.3624,1838.4
495.3644,1836.0001
495.3664,1804.8
495.3684,1838.4
495.3704,1836.0001
495.3724,1838.4
495.3744,1836.0001
495.3764,1836.0001
495.3784,1838.4
495.3804,1838.4
495.3824,1836.0001
495.3844,1804.8
495.3864,1836.0001
495.3884,1836.0001
495.3904,1838.4
495.3924,1881.6001
495.3944,1836.0001
495.3964,1838.4
495.3984,1840.8
495.4004,1838.4
495.4024,1807.2001
495.4044,1838.4
495.4064,1836.0001
495.4084,1838.4
495.4104,1836.0001
495.4124,1838.4
495.4144,1836.0001
495.4164,1836.0001
495.4184,1836.0001
495.4204,1804.8
495.4224,1838.4
495.4244,1836.0001
495.4264,1836.0001
495.4284,1838.4
495.4304,1838.4
495.4324,1836.0001
495.4344,1838.4
495.4364,1836.0001
495.4384,1804.8
495.4404,1838.4
495.4424,1872.0001
495.4444,1838.4
495.4464,1836.0001
495.4484,1840.8
495.4504,1836.0001
495.4524,1838.4
495.4544,1838.4
495.4564,1807.2001
495.4584,1836.0001
495.4604,1838.4
495.4624,1840.8
495.4644,1838.4
495.4664,1838.4
495.4684,1838.4
495.4704,1838.4
495.4724,1838.4
495.4744,1804.8
495.4764,1836.0001
495.4784,1838.4
495.4804,1838.4
495.4824,1838.4
495.4844,1836.0001
495.4864,1838.4
495.4884,1838.4
495.4904,1838.4
495.4924,1838.4
495.4944,1836.0001
495.4964,1836.0001
495.4984,1838.4
495.5004,1838.4
495.5024,1838.4
495.5044,1838.4
495.5064,1836.0001
495.5084,1838.4
495.5104,1807.2001
495.5124,1838.4
495.5144,1838.4
495.5164,1838.4
495.5184,1840.8
495.5204,1838.4
495.5224,1838.4
495.5244,1838.4
495.5264,1838.4
495.5284,1807.2001
495.5304,1838.4
495.5324,1838.4
495.5344,1838.4
495.5364,1838.4
495.5384,1838.4
495.5404,1838.4
495.5424,1838.4
495.5444,1838.4
495.5464,1807.2001
495.5484,1838.4
495.5504,1838.4
495.5524,1840.8
495.5544,1838.4
495.5564,1838.4
495.5584,1838.4
495.5604,1838.4
495.5624,1838.4
495.5644,1807.2001
495.5664,1840.8
495.5684,1838.4
495.5704,1840.8
495.5724,1840.8
495.5744,1838.4
495.5764,1838.4
495.5784,1838.4
495.5804,1840.8
495.5824,1807.2001
495.5844,1838.4
495.5864,1838.4
495.5884,1838.4
495.5904,1838.4
495.5924,1838.4
495.5944,1840.8
495.5964,1838.4
495.5984,1838.4
495.6004,1804.8
495.6024,1840.8
